TimeStamp,faceId,interocularDistance,glasses,age,ethnicity,gender,dominantEmoji,pitch,yaw,roll,joy,fear,disgust,sadness,anger,surprise,contempt,valence,engagement,smile,innerBrowRaise,browRaise,browFurrow,noseWrinkle,upperLipRaise,lipCornerDepressor,chinRaise,lipPucker,lipPress,lipSuck,mouthOpen,smirk,eyeClosure,attention,eyeWiden,cheekRaise,lidTighten,dimpler,lipStretch,jawDrop,relaxed,smiley,laughing,kissing,disappointed,rage,smirk,wink,stuckOutTongueWinkingEye,stuckOutTongue,flushed,scream,
0.0000,0,93.8542,no,under 18,black african,unknown,Unknown,1.4373,35.6588,-6.4623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.1125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.0000,1,105.4105,no,18-24,hispanic,unknown,Smiley,-10.4781,-11.7051,-15.6406,99.9306,0.0002,0.0004,0.0000,0.0000,2.2974,0.0001,98.4372,100.0000,100.0000,0.0000,0.0000,0.0000,1.4144,0.8895,0.0000,1.2931,0.3027,0.0765,0.0000,99.9930,0.0000,0.0000,88.6851,0.0002,55.1484,0.0235,0.4643,1.3876,0.4577,0.0018,99.1186,0.0334,0.0018,0.0018,0.0000,0.0000,0.0025,2.3023,2.3023,0.0018,0.0284,
